id,event_id,restaurant,burger,description,neighborhood,address,latitude,longitude,available_start,available_end,hours,tags,restaurant_photo,photo_alt,maps_url,everout_url
von-ebert-glendoveer,burger-week-2026,Von Ebert Brewing Glendoveer,Event burger TBD,Replace with the official Burger Week description,Glendoveer,Portland OR,,,2026-08-10,2026-08-16,Replace with event hours,beer;source-backed,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Von%20Ebert%20Brewing%20Glendoveer%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-002,burger-week-2026,Burger Week Placeholder 002,Burger details TBD,Replace this row with the restaurant listed burger details,Southeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20002%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-003,burger-week-2026,Burger Week Placeholder 003,Burger details TBD,Replace this row with the restaurant listed burger details,Northeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20003%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-004,burger-week-2026,Burger Week Placeholder 004,Burger details TBD,Replace this row with the restaurant listed burger details,North Portland,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20004%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-005,burger-week-2026,Burger Week Placeholder 005,Burger details TBD,Replace this row with the restaurant listed burger details,Downtown,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20005%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-006,burger-week-2026,Burger Week Placeholder 006,Burger details TBD,Replace this row with the restaurant listed burger details,Northwest,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20006%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-007,burger-week-2026,Burger Week Placeholder 007,Burger details TBD,Replace this row with the restaurant listed burger details,Southwest,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20007%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-008,burger-week-2026,Burger Week Placeholder 008,Burger details TBD,Replace this row with the restaurant listed burger details,Southeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20008%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-009,burger-week-2026,Burger Week Placeholder 009,Burger details TBD,Replace this row with the restaurant listed burger details,Northeast,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20009%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
burger-010,burger-week-2026,Burger Week Placeholder 010,Burger details TBD,Replace this row with the restaurant listed burger details,North Portland,Portland OR,,,2026-08-10,2026-08-16,Hours TBD,placeholder,data/photos/restaurant-placeholder.svg,Restaurant posted burger photo placeholder,https://maps.apple.com/?q=Burger%20Week%20Placeholder%20010%20Portland%20OR,https://everout.com/portland/events/the-portland-mercurys-burger-week-2026/e222750/
